Date,SUMMER STEELHEAD_Hatchery,SUMMER STEELHEAD_Wild,SUMMER STEELHEAD_RM,SUMMER STEELHEAD_LM,SPRING CHINOOK_Hachery,SPRING CHINOOK_Wild,SPRING CHINOOK_RM,SPRING CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall Chinook,Bull Trout,Rainbow Trout,Total
6/26/2017,,,,,145,,,,,,,,,6,151
6/27/2017,,,,,50,,,,,,,,,5,55
6/28/2017,,,,,38,2,,1,,,,,,6,47
6/30/2017,,,,,81,,,,,,,,,3,84
7/3/2017,,,,,136,2,,,,,,,,,
7/5/2017,,,,,36,,,,,,,,,9,45
7/7/2017,,,,,26,,,,,,,,,5,31
7/10/2017,,,,,46,,,,,,,,,12,58
7/12/2017,,,,,36,3,,,,,,,,5,44
7/14/2017,,,,,29,,,,1,,,,,5,35
7/17/2017,,,,,32,,,,2,,,,,1,35
7/19/2017,,,,,15,,,,2,,,1,,3,21
7/21/2017,,,,,5,,,,,,,,,5,10
7/24/2017,,,,,26,1,,,1,1,,,,5,34
7/26/2017,,,,,12,1,,,,,,,,4,17
7/28/2017,,,,,5,1,,,1,,,,,2,9
7/31/2017,,,,,14,1,,,3,2,,2,,3,25
8/2/2017,,,,,10,,,,1,1,,,,,12
8/4/2017,,,,,3,1,,,2,2,,,,1,9
8/7/2017,,,,,9,,,,7,1,,,,1,18
8/9/2017,,,,,7,,,,7,2,,,,1,17
8/11/2017,,,,,3,,,,2,2,,,,3,10
8/14/2017,,,,,6,,,,,,,,,,6
8/16/2017,,,,,1,,,,1,,,,,1,3
8/18/2017,,,,,1,1,,,,,,,,1,3
8/22/2017,1,,,,7,1,,,1,,,,,,10
8/23/2017,1,,,,3,,,,,,,,,,4
8/25/2017,,,,,4,,,,,,,1,,,5
8/28/2017,,,,,6,1,,,3,,,1,,,11
8/30/2017,,,,,2,1,,,,,,,,,3
9/1/2017,,,,1,3,,,,,1,,,,,5
9/6/2017,,,,,,,,,3,2,,,,,5
9/8/2017,2,,,,,,,,1,,,,,,3
9/11/2017,1,,,,1,,,,1,,,,,,3
9/14/2017,,,,,,,,,,,,,,3,3
9/15/2017,2,,,,1,1,,,,,1,,,1,6
9/18/2017,1,,,,,,,,,1,,,,1,3
9/20/2017,3,,,,,,,,,,,,,,3
9/22/2017,,1,,,,,,,,,,,,,1
9/25/2017,10,1,1,,,,,,,,,,,1,13
9/27/2017,6,,,,,,,,,,,,,2,8
9/29/2017,8,,,,,,,,,,,,,,8
10/2/2017,12,,,,,,,,2,,,,,6,20
10/4/2017,4,,,,,,,,,,,,,2,6
10/6/2017,7,,,,,,,,,,,,,1,8
10/9/2017,26,,,,,,,,,,,1,,1,28
10/11/2017,8,1,,,,,,,,,,,,3,12
10/13/2017,12,1,,,,,,,,,,,,2,15
10/16/2017,8,,,,,,,,,,,,,1,9
10/18/2017,8,,,,,,,,,,,,,5,13
10/20/2017,10,,,,,,,,,,,1,,5,16
10/23/2017,17,,,,,,,,,,,,,6,23
10/25/2017,36,,,1,,,,,,,,2,,11,50
10/27/2017,53,,1,,,,,,,,,1,1,20,76
10/31/2017,64,3,1,,,,,,,,,12,,25,
11/1/2017,13,1,,,,,,,,,,1,,7,22
11/3/2017,14,,,,,,,,,,,5,,3,22
11/6/2017,23,1,,,,,,,,,,1,,10,35
11/8/2017,10,,2,,,,,,,,,3,,6,21
11/9/2017,10,1,,,,,,,,,,,,5,16
11/13/2017,41,1,1,,,,,,,,,21,,26,90
11/15/2017,13,,,,,,,,,,,11,,10,34
11/17/2017,8,,,,,,,,,,,5,1,4,18
11/20/2017,11,,,,,,,,,,,11,,12,34
11/22/2017,27,,,,,,,,,,,13,2,16,58
11/27/2017,140,1,1,1,,,,,,,,30,1,54,228
11/28/2017,48,1,,,,,,,,,,,,10,59
11/29/2017,16,,,,,,,,,,,4,,10,30
12/1/2017,44,,1,,,,,,,,,5,,14,64
12/4/2017,36,,,,,,,,,,,6,,6,48
12/6/2017,10,,,,,,,,,,,1,,4,15
12/8/2017,23,,,,,,,,,,,6,,6,35
12/11/2017,27,,,,,,,,,,,7,,4,38
12/13/2017,6,1,,,,,,,,,,1,,13,21
12/15/2017,6,,,,,,,,,,,2,,1,9
12/18/2017,33,,,,,,,,,,,6,3,14,56
12/20/2017,11,,,1,,,,,,,,5,,9,26
12/22/2017,17,,,,,,,,,,,5,1,13,36
12/27/2017,41,,,,,,,,,,,4,2,36,83
12/29/2017,20,,1,,,,,,,,,5,,4,30
1/3/2018,61,1,,,,,,,,,,2,,16,80
1/5/2018,27,,,,,,,,,,,,,3,30
1/8/2018,56,,,,,,,,,,,1,1,19,77
1/10/2018,27,1,,,,,,,,,,2,,18,48
1/12/2018,54,1,,,,,,,,,,2,,17,74
1/16/2018,76,1,,,,,,,,,,4,,28,109
1/19/2018,49,,,,,,,,,,,1,,10,60
1/22/2018,39,,,,,,,,,,,3,1,13,56
1/24/2018,11,,,1,,,,,,,,,,8,20
1/26/2018,36,,,,,,,,,,,1,,18,55
1/29/2018,30,,1,,,,,,,,,,,16,47
1/31/2018,14,,,,,,,,,,,1,,6,21
2/2/2018,40,,,,,,,,,,,,,18,58
2/5/2018,48,1,,1,,,,,,,,,,50,100
2/7/2018,21,,,,,,,,,,,,,18,39
2/9/2018,40,,,,,,,,,,,,,22,62
2/12/2018,49,1,1,,,,,,,,,,,51,102
2/14/2018,22,,,,,,,,,,,,,15,37
2/16/2018,8,,,,,,,,,,,,,8,16
2/19/2018,15,1,,,,,,,,,,,,11,27
2/22/2018,13,,,,,,,,,,,,,8,21
2/26/2018,9,,,,,,,,,,,,,8,17
2/28/2018,3,,,,,,,,,,,,,3,6
3/2/2018,17,,,,,,,,,,,,,9,26
3/5/2018,14,,,,,,,,,,,,,13,27
