"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"62",1989-07-01,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,1989,"Summer","July",NA
"63",1989-08-01,27,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,1989,"Summer","August",NA
"64",1989-09-01,516,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,1989,"Summer","September",NA
"65",1989-10-01,725,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,1989,"Fall","October",NA
"66",1990-06-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1990,"Spring","June",NA
"67",1990-07-01,35,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1990,"Summer","July",NA
"68",1990-08-01,34,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1990,"Summer","August",NA
"69",1990-09-01,290,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,1990,"Summer","September",NA
"70",1990-10-01,442,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,1990,"Fall","October",NA
"71",1991-06-01,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1991,"Spring","June",NA
"72",1991-07-01,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,1991,"Summer","July",NA
"73",1991-08-01,84,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,1991,"Summer","August",NA
"74",1991-09-01,743,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,1991,"Summer","September",NA
"75",1991-10-01,426,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1991,"Fall","October",NA
