Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-02,NA,NA,19.91,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,246
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-03,NA,NA,19.76,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,247
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-04,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,248
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-05,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,249
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-06,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,250
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-07,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,251
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-08,NA,NA,19.54,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,252
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-09,NA,NA,19.53,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,253
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-10,NA,NA,19.61,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,254
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-11,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,255
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-09-12,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,256
Deschutes River at Deschutes River Park,2000-10-02,7.9,95,15.4,9.6,2.4,NA,630,0.06,0.134,42,NA,2000,Fall,276
John Day River at Hwy 206,2000-10-04,8.8,102,15.6,10.7,0.8,NA,180,0.03,0.005,4,NA,2000,Fall,278
Deschutes River at Deschutes River Park,2000-12-18,8.1,104,6.3,12.9,1.5,NA,100,0.02,0.119,2,NA,2000,Fall,353
John Day River at Hwy 206,2000-12-21,8.4,101,1.3,13.8,2.3,NA,160,0.02,0.005,2,NA,2000,Winter,356
Deschutes River at Deschutes River Park,2001-02-05,8.4,105,7.9,12.5,1.5,NA,110,0.02,0.174,2,NA,2001,Winter,36
John Day River at Hwy 206,2001-02-08,8.5,101,4,13,1.7,NA,160,0.02,0.005,2,NA,2001,Winter,39
Deschutes River at Deschutes River Park,2001-04-23,8.5,105,11,11.7,2,NA,91,0.03,0.01,2,NA,2001,Spring,113
John Day River at Hwy 206,2001-04-26,8.2,100,18.4,9.3,0.9,NA,140,0.04,0.005,34,NA,2001,Spring,116
Deschutes River at Deschutes River Park,2001-06-04,8.4,106,13.2,11.2,1.6,NA,91,0.02,0.005,2,NA,2001,Spring,155
John Day River at Hwy 206,2001-06-07,8.8,119,21.5,10.4,0.9,NA,110,0.02,0.005,8,NA,2001,Spring,158
Deschutes River at Deschutes River Park,2001-08-13,8.5,113,20,10.4,2.9,NA,100,0.02,0.0083,2,NA,2001,Summer,225
John Day River at Hwy 206,2001-08-16,8.9,115,26.5,9.2,1.1,NA,170,0.02,0.005,10,NA,2001,Summer,228
Deschutes River at Deschutes River Park,2001-10-15,8.7,112,13.8,11.8,2.5,NA,130,0.02,0.0875,44,NA,2001,Fall,288
John Day River at Hwy 206,2001-10-17,8.5,112,13.5,11.5,1.2,NA,180,0.03,0.005,2,NA,2001,Fall,290
Deschutes River at Deschutes River Park,2001-12-10,8.6,98,7.3,12,1.4,NA,100,0.04,0.0956,0,NA,2001,Fall,344
John Day River at Hwy 206,2001-12-13,8.5,102,7.3,12.2,0.9,NA,140,0.03,0.0082,4,NA,2001,Fall,347
Deschutes River at Deschutes River Park,2002-03-04,8.3,105,6.9,12.8,2.3,NA,98,NA,0.0996,NA,NA,2002,Winter,63
John Day River at Hwy 206,2002-03-07,8.3,100,6.2,12.3,1.2,NA,130,NA,0.0058,NA,NA,2002,Winter,66
Deschutes River at Deschutes River Park,2002-04-08,8,98,10.5,11,0.8,NA,88,NA,0.0105,NA,NA,2002,Spring,98
John Day River at Hwy 206,2002-04-10,8,98,13.3,10.1,0.8,NA,110,0.02,0.0076,16,NA,2002,Spring,100
Deschutes River at Deschutes River Park,2002-06-10,8.4,107,14.3,11,1.2,NA,89,NA,0.0104,NA,NA,2002,Spring,161
John Day River at Hwy 206,2002-06-13,8.6,110,22.7,9.4,0.5,NA,89,0.03,NA,24,NA,2002,Spring,164
Long Rock Creek,2002-07-09,NA,40,14.9,3.8,NA,NA,NA,NA,NA,NA,NA,2002,Summer,190
Deschutes River at Deschutes River Park,2002-08-05,8.5,111,16.9,10.8,10.3,NA,89,0.03,0.0055,NA,2,2002,Summer,217
John Day River at Hwy 206,2002-08-08,9,121,23.9,9.7,0.5,NA,160,0.03,NA,NA,NA,2002,Summer,220
Deschutes River at Deschutes River Park,2002-10-28,8.5,108,10.4,12.5,1.3,NA,110,NA,0.131,NA,1,2002,Fall,301
John Day River at Hwy 206,2002-10-31,8.5,105,4,13.5,2.2,NA,170,NA,NA,NA,1,2002,Fall,304
Deschutes River at Deschutes River Park,2002-12-02,8.1,99,6.5,12.2,1.7,NA,95,0.03,0.1,NA,2,2002,Fall,336
John Day River at Hwy 206,2002-12-05,8.4,102,3.4,13.5,1.8,NA,160,NA,0.0056,NA,11,2002,Fall,339
Deschutes River at Deschutes River Park,2003-02-24,8.1,100,5.2,12.8,1,NA,92,0.04,0.159,NA,NA,2003,Winter,55
John Day River at Hwy 206,2003-02-27,8.5,105,6,12.9,1.4,NA,130,0.02,NA,NA,NA,2003,Winter,58
Deschutes River at Deschutes River Park,2003-04-14,8.3,102,10.9,11.3,0.6,NA,88,0.03,0.0071,NA,3,2003,Spring,104
John Day River at Hwy 206,2003-04-17,8.2,93,12,9.9,0.1,NA,120,0.02,NA,NA,40,2003,Spring,107
Deschutes River at Deschutes River Park,2003-06-09,8.6,106,17.2,10.3,1.7,NA,84,NA,NA,NA,10,2003,Spring,160
John Day River at Hwy 206,2003-06-12,8.7,109,23.9,9.1,0.6,NA,96,0.02,NA,NA,6,2003,Spring,163
Deschutes River at Deschutes River Park,2003-08-18,8.4,109,19.7,10.1,0.6,NA,91,0.02,0.028,NA,1,2003,Summer,230
John Day River at Hwy 206,2003-09-03,8.9,105,24.6,8.7,0.5,NA,180,NA,NA,NA,2,2003,Summer,246
Deschutes River at Deschutes River Park,2003-10-13,8.2,105,13.6,11,0.5,NA,100,NA,0.156,NA,4,2003,Fall,286
John Day River at Hwy 206,2003-10-16,8.6,98,12.1,10.4,0.2,NA,160,NA,NA,NA,20,2003,Fall,289
Deschutes River at Deschutes River Park,2003-12-08,7.9,100,7.7,11.9,0.3,NA,110,0.02,0.201,NA,2,2003,Fall,342
John Day River at Hwy 206,2003-12-11,8.5,98,4.5,12.5,1,NA,140,NA,NA,NA,12,2003,Fall,345
Deschutes River at Deschutes River Park,2004-02-02,7.9,96,6.2,12,0.6,NA,120,NA,0.337,NA,10,2004,Winter,33
John Day River at Hwy 206,2004-02-05,8,100,5.2,12.5,1.3,NA,150,0.02,0.227,NA,2,2004,Winter,36
Deschutes River at Deschutes River Park,2004-04-19,7.5,104,10.4,11.6,1.5,NA,100,0.02,0.0352,NA,3,2004,Spring,110
John Day River at Hwy 206,2004-04-22,8.3,107,13.6,11,1.9,NA,120,0.02,0.005,NA,5,2004,Spring,113
Deschutes River at Deschutes River Park,2004-06-14,8.3,104,15.5,10.5,1.2,NA,110,0.02,0.0318,NA,2,2004,Spring,166
John Day River at Hwy 206,2004-06-17,8.6,105,22.2,9.1,0.6,NA,120,0.02,0.005,NA,17,2004,Spring,169
John Day River at Hwy 206,2004-08-07,NA,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,220
John Day River at Hwy 206,2004-08-08,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,221
John Day River at Hwy 206,2004-08-09,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,222
Deschutes River at Deschutes River Park,2004-08-09,8.6,109,19.1,10.2,1.2,NA,95,0.02,0.0675,NA,1,2004,Summer,222
John Day River at Hwy 206,2004-08-10,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,223
John Day River at Hwy 206,2004-08-11,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,224
John Day River at Hwy 206,2004-08-12,8.9,116,28.5,9.2,0.8,NA,150,0.02,0.005,NA,6,2004,Summer,225
John Day River at Hwy 206,2004-08-13,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,226
John Day River at Hwy 206,2004-08-14,NA,NA,27.54,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,227
John Day River at Hwy 206,2004-08-15,NA,NA,27.79,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,228
John Day River at Hwy 206,2004-08-16,NA,NA,27.64,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,229
John Day River at Hwy 206,2004-08-17,NA,NA,27.37,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,230
John Day River at Hwy 206,2004-08-18,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,231
John Day River at Hwy 206,2004-08-19,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,232
John Day River at Hwy 206,2004-08-20,NA,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,233
John Day River at Hwy 206,2004-08-21,NA,NA,27.01,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,234
John Day River at Hwy 206,2004-08-22,NA,NA,26.41,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,235
John Day River at Hwy 206,2004-08-23,NA,NA,25.81,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,236
John Day River at Hwy 206,2004-08-24,NA,NA,25.09,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,237
John Day River at Hwy 206,2004-08-25,NA,NA,23.97,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,238
John Day River at Hwy 206,2004-08-26,NA,NA,22.84,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,239
John Day River at Hwy 206,2004-08-27,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,240
John Day River at Hwy 206,2004-08-28,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,241
John Day River at Hwy 206,2004-08-29,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,242
John Day River at Hwy 206,2004-08-30,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,243
John Day River at Hwy 206,2004-08-31,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,244
John Day River at Hwy 206,2004-09-13,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,2004,Summer,257
Deschutes River at Deschutes River Park,2004-10-25,8.4,103,10.8,11.4,0.8,NA,110,NA,0.174,NA,5,2004,Fall,299
John Day River at Hwy 206,2004-10-28,8.6,103,10,11.4,1,NA,170,0.02,0.005,NA,16,2004,Fall,302
Deschutes River at Deschutes River Park,2004-12-27,8.2,97,7.3,11.7,0.8,NA,85,0.02,0.276,NA,1,2004,Winter,362
John Day River at Hwy 206,2004-12-30,8.4,96,2.5,12.9,0.8,NA,140,NA,NA,NA,5,2004,Winter,365
Deschutes River at Deschutes River Park,2005-02-14,8.3,104,8.2,12.4,1.6,NA,110,0.03,0.212,NA,NA,2005,Winter,45
John Day River at Hwy 206,2005-02-17,8.5,101,4.1,13,0.1,NA,160,0.02,NA,NA,NA,2005,Winter,48
Deschutes River at Deschutes River Park,2005-04-25,8.2,102,11.6,11.2,1.7,NA,110,0.03,0.0518,NA,3,2005,Spring,115
John Day River at Hwy 206,2005-04-27,8.1,95,17,9,1.1,NA,190,0.03,NA,NA,122,2005,Spring,117
Deschutes River at Deschutes River Park,2005-06-13,8.4,106,16,10.6,1.3,NA,110,NA,NA,NA,2,2005,Spring,164
John Day River at Hwy 206,2005-06-16,8.7,104,20.6,9.5,0.7,NA,140,NA,NA,NA,7,2005,Spring,167
Deschutes River at Deschutes River Park,2005-08-22,8.5,109,19.6,10.1,1.2,NA,120,0.02,0.0069,NA,4,2005,Summer,234
John Day River at Hwy 206,2005-08-25,8.9,103,22.7,8.8,0.4,NA,200,NA,NA,NA,1,2005,Summer,237
John Day River at Hwy 206,2005-08-29,8.7,105,21.4,9.2,NA,NA,200,0.02,0.005,NA,NA,2005,Summer,241
John Day River at Hwy 206,2005-09-01,8.7,104,25.2,8.6,NA,NA,190,0.02,0.005,NA,NA,2005,Summer,244
Deschutes River at Deschutes River Park,2005-10-03,8.8,102,13.2,10.8,1.5,NA,140,0.04,0.218,NA,15,2005,Fall,276
John Day River at Hwy 206,2005-10-06,9.2,105,16.6,10.1,0.3,NA,180,0.02,NA,NA,37,2005,Fall,279
Deschutes River at Deschutes River Park,2005-12-05,7.9,99,6.3,12.2,1.4,NA,120,0.04,0.0883,NA,1,2005,Fall,339
John Day River at Hwy 206,2005-12-08,8.5,103,0.4,14.6,3.1,NA,160,NA,NA,NA,1,2005,Fall,342
Deschutes River at Deschutes River Park,2006-02-06,7.3,99,6.2,12.3,1,NA,110,NA,0.189,NA,3,2006,Winter,37
John Day River at Hwy 206,2006-02-09,8.4,104,5.8,12.8,1.3,NA,150,NA,0.108,NA,2,2006,Winter,40
Deschutes River at Deschutes River Park,2006-04-10,8.1,98,9.3,11.3,1.5,NA,110,NA,0.147,NA,9,2006,Spring,100
John Day River at Hwy 206,2006-04-13,8.1,94,11.7,10.1,0.3,NA,160,NA,0.0318,NA,9,2006,Spring,103
Deschutes River at Deschutes River Park,2006-06-12,7.9,103,16.2,10.3,2.8,NA,80,NA,0.0452,NA,7,2006,Spring,163
John Day River at Hwy 206,2006-06-15,8.3,95,19,8.8,1.1,NA,1200,0.03,0.0481,NA,1986,2006,Spring,166
Deschutes River at Deschutes River Park,2006-08-07,8.3,106,19.2,10,0.7,NA,78,0.03,0.0478,NA,7,2006,Summer,219
John Day River at Hwy 206,2006-08-10,8.8,107,23.9,8.9,1.2,NA,180,0.06,0.0096,NA,NA,2006,Summer,222
Deschutes River at Deschutes River Park,2006-10-02,8.2,102,14.8,10.4,1,NA,92,NA,0.101,NA,8,2006,Fall,275
John Day River at Hwy 206,2006-10-05,8.7,101,15.3,10.1,0.4,NA,190,NA,NA,NA,10,2006,Fall,278
Deschutes River at Deschutes River Park,2006-12-11,8.2,98,7.1,12,0.9,NA,110,NA,0.0921,NA,4,2006,Fall,345
John Day River at Hwy 206,2006-12-14,8.4,100,6.3,12.1,1.3,NA,170,NA,0.0126,NA,8,2006,Fall,348
Deschutes River at Deschutes River Park,2007-02-05,7.6,98,6.4,12.1,0.6,NA,99,NA,0.195,NA,2,2007,Winter,36
John Day River at Hwy 206,2007-02-08,8.5,103,5,12.9,1.1,NA,170,NA,NA,NA,NA,2007,Winter,39
Deschutes River at Deschutes River Park,2007-04-02,8.3,101,8.4,11.9,0.6,NA,95,NA,0.071,NA,3,2007,Spring,92
John Day River at Hwy 206,2007-04-05,8.4,104,11.9,11,0.8,NA,120,NA,NA,NA,4,2007,Spring,95
Deschutes River at Deschutes River Park,2007-06-04,8.2,103,17.5,9.9,1.7,NA,100,NA,0.0148,NA,33,2007,Spring,155
John Day River at Hwy 206,2007-06-07,8.7,115,18.3,10.7,1.2,NA,140,NA,NA,NA,7,2007,Spring,158
Deschutes River at Deschutes River Park,2007-08-27,8.4,105,16.9,10.2,0.7,NA,100,NA,0.04,NA,4,2007,Summer,239
John Day River at Hwy 206,2007-08-30,8.9,104,25.6,8.5,1.5,NA,190,NA,NA,NA,6,2007,Summer,242
Deschutes River at Deschutes River Park,2007-10-01,8.3,103,13.7,10.7,1.2,NA,120,NA,0.16,NA,9,2007,Fall,274
John Day River at Hwy 206,2007-10-04,8.7,101,12.7,10.6,1.1,NA,190,NA,NA,NA,36,2007,Fall,277
Deschutes River at Deschutes River Park,2008-02-04,8,96,5.7,12.1,1.4,NA,110,NA,0.197,NA,1,2008,Winter,35
John Day River at Hwy 206,2008-02-07,8.4,104,5.3,13.1,1.8,NA,160,NA,NA,NA,2,2008,Winter,38
Deschutes River at Deschutes River Park,2008-04-14,8.1,100,11,11.1,3,NA,96,NA,0.013,NA,1,2008,Spring,105
John Day River at Hwy 206,2008-04-17,8,98,10.9,10.7,1.7,NA,150,NA,0.0358,NA,57,2008,Spring,108
Deschutes River at Deschutes River Park,2008-06-23,8.5,105,15.4,10.6,1.6,NA,85,NA,0.0051,NA,3,2008,Summer,175
John Day River at Hwy 206,2008-06-26,8.4,104,21.4,9.1,1.2,NA,120,NA,NA,NA,9,2008,Summer,178
Deschutes River at Deschutes River Park,2008-08-25,8,100,17.1,9.7,1.3,NA,140,NA,0.131,NA,8,2008,Summer,238
John Day River at Hwy 206,2008-08-28,8.7,110,22,9.5,2.6,NA,170,NA,NA,NA,1,2008,Summer,241
Deschutes River at Deschutes River Park,2008-10-27,8.1,104,10.6,11.6,1.5,NA,100,NA,0.132,NA,5,2008,Fall,301
John Day River at Hwy 206,2008-10-30,8.6,105,10,11.6,1.1,NA,170,NA,NA,NA,2,2008,Fall,304
Deschutes River at Deschutes River Park,2008-12-08,8.3,101,7.9,12,1.6,NA,99,NA,0.157,NA,2,2008,Fall,343
John Day River at Hwy 206,2008-12-11,8.4,106,4.7,13.4,2.6,NA,150,NA,NA,NA,2,2008,Fall,346
Deschutes River at Deschutes River Park,2009-02-09,8.3,99,5.6,12.5,1.8,NA,95,NA,0.226,NA,2,2009,Winter,40
John Day River at Hwy 206,2009-02-12,8.3,89,4,11.5,NA,NA,140,NA,NA,NA,2,2009,Winter,43
Deschutes River at Deschutes River Park,2009-04-06,8.2,104,9.8,11.8,1.3,NA,94,NA,0.0343,NA,NA,2009,Spring,96
John Day River at Hwy 206,2009-04-09,8.1,98,13.2,10.1,1.1,NA,140,NA,NA,NA,59,2009,Spring,99
Deschutes River at Deschutes River Park,2009-06-01,8.1,100,15.2,10.2,2.6,NA,110,NA,0.018,NA,7,2009,Spring,152
John Day River at Hwy 206,2009-06-04,8.2,104,21,8.9,0.6,NA,110,NA,NA,NA,7,2009,Spring,155
Deschutes River at Deschutes River Park,2009-08-24,8.6,112,17.1,10.9,1.5,NA,93,NA,0.0596,NA,1,2009,Summer,236
John Day River at Hwy 206,2009-08-27,8.6,102,23.1,8.7,1.5,NA,150,NA,NA,NA,2,2009,Summer,239
Deschutes River at Deschutes River Park,2009-09-03,8.9,108,19.1,9.9,NA,NA,NA,NA,NA,NA,NA,2009,Summer,246
Deschutes River at Deschutes River Park,2009-09-04,NA,NA,NA,NA,NA,NA,NA,0.02,0.0451,NA,2,2009,Summer,247
Deschutes River at Deschutes River Park,2009-10-26,8.2,97,10.9,10.7,1,NA,110,NA,0.193,NA,4,2009,Fall,299
John Day River at Hwy 206,2009-10-29,8.5,96,8.2,11.2,0.7,NA,160,NA,NA,NA,8,2009,Fall,302
Deschutes River at Deschutes River Park,2009-12-07,8,97,2.8,13.2,2.4,NA,110,NA,0.232,NA,1,2009,Fall,341
Deschutes River at Deschutes River Park,2010-02-22,8.2,100,5.9,12.5,1.4,NA,97,NA,0.19,NA,NA,2010,Winter,53
John Day River at Hwy 206,2010-02-25,8.5,104,7,12.4,1.1,NA,130,NA,NA,NA,NA,2010,Winter,56
Deschutes River at Deschutes River Park,2010-04-05,8.7,103,9,12,3.3,NA,110,NA,0.0072,NA,1,2010,Spring,95
John Day River at Hwy 206,2010-04-08,8.6,107,10.9,11.7,1.1,NA,140,NA,NA,NA,NA,2010,Spring,98
Deschutes River at Deschutes River Park,2010-06-07,8.4,99,15.2,10.1,1.5,NA,140,NA,0.0498,NA,105,2010,Spring,158
John Day River at Hwy 206,2010-06-10,8.1,95,15.9,9.3,0.9,NA,180,NA,0.0384,NA,88,2010,Spring,161
Deschutes River at Deschutes River Park,2010-08-23,8.4,100,16,10,1.4,NA,91,NA,0.0165,NA,2,2010,Summer,235
John Day River at Hwy 206,2010-08-26,8.7,102,23,8.7,0.8,NA,175,NA,NA,NA,3,2010,Summer,238
Deschutes River at Deschutes River Park,2010-10-11,8.2,101,12.5,10.8,1.3,NA,120,NA,0.222,NA,6,2010,Fall,284
John Day River at Hwy 206,2010-10-14,8.6,100,13.2,10.4,0.4,NA,190,NA,NA,NA,4,2010,Fall,287
Deschutes River at Deschutes River Park,2010-12-13,8,97,8.4,11.4,2,NA,230,NA,0.173,NA,40,2010,Fall,347
John Day River at Hwy 206,2010-12-16,8,95,4.4,12,1.6,NA,180,NA,0.0418,NA,96,2010,Fall,350
Deschutes River at Deschutes River Park,2011-02-14,8,95,7.2,11.5,0.4,NA,102,NA,0.182,NA,2,2011,Winter,45
John Day River at Hwy 206,2011-02-17,8.4,102,5.9,12.4,2.1,NA,198,NA,0.0806,NA,9,2011,Winter,48
Deschutes River at Deschutes River Park,2011-04-04,8.1,98,9.6,11.2,1.4,NA,116,0.014,0.161,NA,7,2011,Spring,94
John Day River at Hwy 206,2011-04-07,8.2,98,9,11.2,1.4,NA,146,0.013,0.044,NA,30,2011,Spring,97
Deschutes River at Deschutes River Park,2011-06-27,8.3,97,16.3,9.6,1.7,NA,109,NA,0.0053,NA,16,2011,Summer,178
John Day River at Hwy 206,2011-06-30,8.3,97,19.3,8.8,0.6,NA,126,NA,NA,NA,49,2011,Summer,181
John Day River at Hwy 206,2011-08-25,8.9,120,26.5,9.4,0.7,NA,173,NA,0.0064,NA,6,2011,Summer,237
John Day River at Hwy 206,2011-10-13,8.6,98,13.9,10.4,1,NA,216,NA,NA,NA,8,2011,Fall,286
Deschutes River at Deschutes River Park,2011-10-17,8.2,105,12.8,11.1,0.8,NA,81,NA,0.16,NA,4,2011,Fall,290
Deschutes River at Deschutes River Park,2011-12-06,8.2,99,5,12.7,2.6,NA,101,0.017,0.21,NA,2,2011,Fall,340
John Day River at Hwy 206,2011-12-15,8.4,101,0.5,14.3,3.3,NA,200,NA,NA,NA,2,2011,Fall,349
John Day River at Hwy 206,2012-02-16,8.3,103,4.8,12.9,2.4,NA,138,NA,NA,NA,2,2012,Winter,47
Deschutes River at Deschutes River Park,2012-02-28,8.2,100,5.7,12.6,1.6,NA,89,NA,0.161,NA,NA,2012,Winter,59
Deschutes River at Deschutes River Park,2012-04-04,8.2,103,9.2,11.9,1.4,NA,102,0.011,0.123,NA,NA,2012,Spring,95
John Day River at Hwy 206,2012-04-26,8,94,13,9.8,1.2,NA,178,NA,0.0244,NA,111,2012,Spring,117
Deschutes River at Deschutes River Park,2012-06-04,8.1,102,14.3,10.3,NA,NA,107,0.01,0.0094,NA,NA,2012,Spring,156
Deschutes River at Shears Falls Fish Ladder,2012-06-04,8.3,115,13.1,11.7,NA,NA,108,0.01,0.0174,NA,NA,2012,Spring,156
Deschutes River at Deschutes River Park,2012-06-06,8.7,104,15,10.6,1.5,NA,100,NA,NA,NA,60,2012,Spring,158
John Day River at Hwy 206,2012-06-14,8.7,114,20.2,10.3,1.3,NA,111,NA,NA,NA,23,2012,Spring,166
John Day River at Hwy 206,2012-06-17,9,118,23.7,9.8,NA,NA,126,0.01,0.0114,NA,NA,2012,Spring,169
Deschutes River at Deschutes River Park,2012-08-07,8.6,111,20.7,10.1,1.1,NA,103,NA,0.0501,NA,2,2012,Summer,220
Deschutes River at Deschutes River Park,2012-08-20,8.5,113,18.6,10.5,NA,NA,99,0.01,0.103,NA,NA,2012,Summer,233
John Day River at Hwy 206,2012-08-20,9.1,126,24.5,10.3,NA,NA,171,0.01,0.005,NA,NA,2012,Summer,233
John Day River at Hwy 206,2012-08-30,8.9,100,20.6,8.9,1.1,NA,172,NA,NA,NA,6,2012,Summer,243
Deschutes River at Shears Falls Fish Ladder,2012-09-10,8.1,112,15.1,10.9,NA,NA,92,0.021,0.18,NA,NA,2012,Summer,254
Deschutes River at Deschutes River Park,2012-10-08,8.4,110,11.2,12,NA,NA,92,0.01,0.17,NA,NA,2012,Fall,282
John Day River at Hwy 206,2012-10-08,8.7,111,13.5,11.3,NA,NA,198,0.01,0.005,NA,NA,2012,Fall,282
John Day River at Hwy 206,2012-10-11,8.6,102,14.4,10.3,1,NA,220,NA,NA,NA,17,2012,Fall,285
Deschutes River at Deschutes River Park,2012-10-16,8.4,109,13.6,11.4,2.4,NA,95,NA,0.176,NA,16,2012,Fall,290
Deschutes River at Shears Falls Fish Ladder,2012-10-22,8.1,112,10,12.1,NA,NA,108,0.011,0.132,NA,NA,2012,Fall,296
Deschutes River at Deschutes River Park,2012-12-04,8.2,100,9.6,11.5,1.5,NA,98,0.01,0.151,NA,NA,2012,Fall,339
John Day River at Hwy 206,2012-12-13,8.4,100,4.4,12.8,1.8,NA,136,0.01,0.0089,NA,NA,2012,Fall,348
Deschutes River at Deschutes River Park,2013-02-05,8.4,107,8,12.7,1.7,NA,97,0.01,0.19,NA,NA,2013,Winter,36
John Day River at Hwy 206,2013-02-14,8.4,107,5.4,13.4,2.3,NA,139,0.01,0.005,NA,NA,2013,Winter,45
John Day River at Hwy 206,2013-04-11,8.1,101,11.5,10.8,0.8,NA,112,0.01,0.0087,NA,NA,2013,Spring,101
Deschutes River at Deschutes River Park,2013-04-16,8.5,106,10,12.1,2.6,NA,97,0.01,0.0091,NA,NA,2013,Spring,106
Deschutes River at Deschutes River Park,2013-06-06,8.6,112,19.7,10.2,1.9,NA,85,0.01,0.005,NA,NA,2013,Spring,157
John Day River at Hwy 206,2013-06-20,8.7,107,17.5,10.1,1.1,NA,107,0.01,0.005,NA,NA,2013,Spring,171
John Day River at Hwy 206,2013-08-15,9.1,104,22.9,8.7,1.1,NA,179,0.038,0.0057,NA,NA,2013,Summer,227
Deschutes River at Deschutes River Park,2013-08-27,8.2,109,17.9,10.2,1.4,NA,107,0.021,0.249,NA,NA,2013,Summer,239
John Day River at Hwy 206,2013-10-10,8.5,103,12.4,10.8,0.6,NA,145,0.01,0.005,NA,NA,2013,Fall,283
Deschutes River at Deschutes River Park,2013-10-16,8.4,109,11.2,12.1,1.5,NA,96,0.01,0.118,NA,NA,2013,Fall,289
John Day River at Hwy 206,2013-12-05,8.4,101,0.2,14.5,5.1,NA,166,0.01,0.005,NA,NA,2013,Fall,339
Deschutes River at Deschutes River Park,2013-12-18,8.2,103,6.1,12.7,1.2,NA,92,0.01,0.157,NA,NA,2013,Fall,352
Deschutes River at Deschutes River Park,2014-02-12,8.1,104,5.9,12.8,1,NA,79,0.01,0.15,NA,NA,2014,Winter,43
John Day River at Hwy 206,2014-02-27,8.3,100,5.3,12.3,1,NA,163,0.01,0.0521,NA,NA,2014,Winter,58
John Day River at Hwy 206,2014-04-17,8.2,100,12.9,10.3,0.4,NA,111,0.01,0.005,NA,NA,2014,Spring,107
Deschutes River at Deschutes River Park,2014-04-22,8.2,101,11.6,10.9,1.5,NA,81,0.01,0.0134,NA,NA,2014,Spring,112
John Day River at Hwy 206,2014-06-12,8.6,109,21.9,9.3,0.9,NA,109,0.01,0.005,NA,NA,2014,Spring,163
