Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
Deschutes River at Deschutes River Park,1982-07-15,8.5,111,17.5,10.7,1.6,430,117,0.003,0.02,NA,NA,1982,Summer,196
Deschutes River at Deschutes River Park,1982-09-29,7.5,91,12,9.8,0.2,36,110,2e-4,0.1,NA,NA,1982,Fall,272
Deschutes River at Deschutes River Park,1982-10-26,7.6,96,10.5,10.7,1.5,30,106,2e-4,0.08,NA,NA,1982,Fall,299
Deschutes River at Deschutes River Park,1982-11-18,8,96,10,10.8,1.6,30,92,3e-4,0.07,NA,NA,1982,Fall,322
Deschutes River at Deschutes River Park,1983-02-14,8,98,8,11.6,0.5,36,119,4e-4,0.29,NA,NA,1983,Winter,45
Deschutes River at Deschutes River Park,1983-05-25,8.2,107,16,10.7,1.7,39,93,0.001,0.02,NA,NA,1983,Spring,145
Deschutes River at Deschutes River Park,1983-06-29,7.7,100,16,10,1.5,36,94,4e-4,3.2,NA,NA,1983,Summer,180
Deschutes River at Deschutes River Park,1983-07-28,7.7,106,18.5,10,1.1,30,106,0.006,0.02,NA,NA,1983,Summer,209
Deschutes River at Deschutes River Park,1983-10-26,8.4,104,11,11.5,1.8,36,112,0.001,0.12,NA,NA,1983,Fall,299
Deschutes River at Deschutes River Park,1984-02-15,8,100,7.5,12.1,1.3,30,163,5e-4,0.2,NA,NA,1984,Winter,46
Deschutes River at Deschutes River Park,1984-04-21,8.1,95,13,10.1,1.2,91,100,7e-4,0.02,NA,NA,1984,Spring,112
Deschutes River at Deschutes River Park,1984-04-23,8.1,107,12,11.7,0.9,73,120,6e-4,0.11,NA,NA,1984,Spring,114
Deschutes River at Deschutes River Park,1984-06-27,7.8,116,19,10.9,1.8,73,98,8e-4,0.02,NA,NA,1984,Summer,179
Deschutes River at Deschutes River Park,1984-07-25,8.3,109,22,9.6,1.5,NA,106,0.002,0.02,NA,NA,1984,Summer,207
Deschutes River at Deschutes River Park,1984-09-19,7.8,113,16.6,11.1,2.6,36,94,6e-4,0.09,NA,NA,1984,Summer,263
Deschutes River at Deschutes River Park,1985-02-14,8,103,5.5,13,1.5,430,112,1e-4,0.19,NA,NA,1985,Winter,45
Deschutes River at Deschutes River Park,1985-04-10,8.6,113,13.5,11.9,3.2,73,111,0.003,0.02,NA,NA,1985,Spring,100
Deschutes River at Deschutes River Park,1985-04-21,8.1,95,13,10.1,1.2,91,10,7e-4,0.02,NA,NA,1985,Spring,111
John Day River at Hwy 206,1985-07-23,8.8,114,25.5,9.5,0.8,7,164,0.007,0.02,NA,NA,1985,Summer,204
Deschutes River at Deschutes River Park,1985-08-13,8.5,124,21.5,11,2,2900,96,0.004,0.02,NA,NA,1985,Summer,225
John Day River at Hwy 206,1985-08-13,8.4,124,25,10.3,39,91,182,0.005,0.02,NA,NA,1985,Summer,225
John Day River at Hwy 206,1985-10-03,8.8,110,16,11,1.1,NA,186,0.004,0.03,NA,NA,1985,Fall,276
John Day River at Hwy 206,1986-02-26,8,99,9,11.5,1.7,NA,465,8e-4,0.27,NA,NA,1986,Winter,57
Deschutes River at Deschutes River Park,1986-03-18,8.1,93,10,11.6,1.1,NA,151,6e-4,0.27,NA,NA,1986,Winter,77
John Day River at Hwy 206,1986-04-22,8.2,94,14,9.6,1,NA,132,9e-4,0.02,NA,NA,1986,Spring,112
John Day River at Hwy 206,1986-05-20,8.1,99,18,9.3,1.7,NA,140,0.001,0.02,NA,NA,1986,Spring,140
Deschutes River at Deschutes River Park,1986-06-09,8.4,117,17.6,11.2,1.8,NA,94,0.002,0.02,NA,NA,1986,Spring,160
Deschutes River at Deschutes River Park,1986-07-29,8.4,105,18,10,1.4,NA,105,0.002,0.02,NA,NA,1986,Summer,210
John Day River at Hwy 206,1987-01-27,7.8,99,2.5,13.5,2,NA,1872,5e-4,0.39,NA,NA,1987,Winter,27
Deschutes River at Deschutes River Park,1987-01-27,8,100,6.5,12.3,2.6,NA,171,4e-4,0.27,NA,NA,1987,Winter,27
Deschutes River at Deschutes River Park,1987-02-04,8.3,112,8.5,13.2,2.4,NA,108,5e-4,0.17,NA,NA,1987,Winter,35
John Day River at Hwy 206,1987-02-24,7.8,105,7,12.8,1.3,NA,160,3e-4,0.1,NA,NA,1987,Winter,55
Deschutes River at Deschutes River Park,1987-02-24,8.3,112,8.5,13.2,1.8,NA,106,4e-4,0.16,NA,NA,1987,Winter,55
John Day River at Hwy 206,1987-03-31,8.2,106,12,11.5,1.3,NA,150,8e-4,0.08,NA,NA,1987,Spring,90
Deschutes River at Deschutes River Park,1987-03-31,8.9,121,12.5,12.9,2,NA,107,0.004,0.03,NA,NA,1987,Spring,90
Deschutes River at Deschutes River Park,1987-04-27,8.2,105,13,11.1,2.3,NA,101,7e-4,0.02,NA,NA,1987,Spring,117
John Day River at Hwy 206,1987-04-29,7.9,101,19,9.3,1.1,NA,114,7e-4,0.02,NA,NA,1987,Spring,119
Deschutes River at Deschutes River Park,1987-05-26,8,106,15,10.8,2.5,NA,109,6e-4,0.02,NA,NA,1987,Spring,146
John Day River at Hwy 206,1987-05-28,8.5,108,17.5,10.2,1.3,NA,142,0.001,0.02,NA,NA,1987,Spring,148
John Day River at Hwy 206,1987-06-29,8.7,120,26.5,9,1.4,NA,132,0.006,0.02,NA,NA,1987,Summer,180
Deschutes River at Deschutes River Park,1987-07-01,8.8,120,22.5,10.5,2,NA,90,0.006,0.02,NA,NA,1987,Summer,182
Deschutes River at Deschutes River Park,1987-08-04,8.5,108,20,9.9,1.2,NA,98,0.003,0.02,NA,NA,1987,Summer,216
John Day River at Hwy 206,1987-08-06,8.6,111,22.5,9.3,1.3,NA,197,0.006,0.03,NA,NA,1987,Summer,218
Deschutes River at Deschutes River Park,1987-10-19,8.4,112,12,12.1,2.1,NA,118,0.001,0.09,NA,NA,1987,Fall,292
John Day River at Hwy 206,1987-10-21,8.5,114,11,12,1.3,NA,223,0.002,0.02,NA,NA,1987,Fall,294
Deschutes River at Deschutes River Park,1987-11-23,7.7,113,9.5,12.9,2.4,NA,124,2e-4,0.08,NA,NA,1987,Fall,327
John Day River at Hwy 206,1987-11-24,8,92,11,10.2,0.6,NA,115,0.001,0.24,NA,NA,1987,Fall,328
Deschutes River at Deschutes River Park,1987-12-21,8.1,102,7,12.4,1.5,NA,104,4e-4,0.19,NA,NA,1987,Winter,355
John Day River at Hwy 206,1987-12-21,8.3,108,3,14,2.6,NA,NA,8e-4,0.02,NA,NA,1987,Winter,355
Deschutes River at Deschutes River Park,1988-01-20,7.9,106,6,13.3,2.1,NA,103,3e-4,0.29,NA,NA,1988,Winter,20
John Day River at Hwy 206,1988-01-20,8.2,112,4.3,14,2.7,NA,190,4e-4,0.3,NA,NA,1988,Winter,20
Deschutes River at Deschutes River Park,1988-02-18,7.9,111,7.5,13.4,2,NA,119,6e-4,0.19,NA,NA,1988,Winter,49
John Day River at Hwy 206,1988-02-18,8.2,112,7,13.3,2.1,NA,171,6e-4,0.02,NA,NA,1988,Winter,49
