Date,SUMMER.STEELHEAD_Hatchery,SUMMER.STEELHEAD_Wild,SUMMER.STEELHEAD_RM,SUMMER.STEELHEAD_LM,SPRING.CHINOOK_Hachery,SPRING.CHINOOK_Wild,SPRING.CHINOOK_RM,SPRING.CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall.Chinook,Bull.Trout,Rainbow.Trout,Total,Year,Season,Month
2015-03-23,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,48,2015,Spring,March
2015-03-25,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,33,2015,Spring,March
2015-03-27,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,23,2015,Spring,March
2015-03-30,23,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,8,52,2015,Spring,March
2015-04-01,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,2015,Spring,April
2015-04-03,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,2015,Spring,April
2015-04-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,2015,Spring,April
2015-04-08,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,17,2015,Spring,April
2015-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2015,Spring,April
2015-04-13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,19,2015,Spring,April
2015-04-15,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2015,Spring,April
2015-04-17,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2015,Spring,April
2015-04-20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2015,Spring,April
2015-04-22,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2015,Spring,April
2015-04-24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2015,Spring,April
2015-04-27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2015,Spring,April
2015-04-29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2015,Spring,April
2015-05-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,2015,Spring,May
2015-05-04,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,15,2015,Spring,May
2015-05-06,1,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,4,11,2015,Spring,May
2015-05-08,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,6,2015,Spring,May
2015-05-11,NA,1,NA,NA,13,1,2,1,NA,NA,NA,NA,NA,6,24,2015,Spring,May
2015-05-13,NA,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA,11,2015,Spring,May
2015-05-15,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,4,11,2015,Spring,May
2015-05-18,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,4,12,2015,Spring,May
2015-05-20,NA,NA,NA,NA,20,1,6,NA,NA,NA,NA,NA,NA,5,32,2015,Spring,May
2015-05-22,NA,NA,NA,NA,15,2,2,2,NA,NA,NA,NA,NA,10,31,2015,Spring,May
2015-05-24,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2015,Spring,May
2015-05-26,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,5,12,2015,Spring,May
2015-05-27,NA,NA,NA,NA,14,2,1,NA,NA,NA,NA,NA,NA,3,20,2015,Spring,May
2015-05-29,NA,NA,NA,NA,25,5,3,NA,NA,NA,NA,NA,NA,1,34,2015,Spring,May
2015-06-01,NA,NA,NA,NA,40,NA,2,3,NA,NA,NA,NA,NA,3,48,2015,Spring,June
2015-06-03,NA,NA,NA,NA,31,NA,1,NA,NA,NA,NA,NA,1,13,46,2015,Spring,June
2015-06-05,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,22,35,2015,Spring,June
2015-06-08,NA,NA,NA,NA,30,2,1,1,NA,NA,NA,NA,NA,6,40,2015,Spring,June
2015-06-10,NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,6,25,2015,Spring,June
2015-06-12,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,13,2015,Spring,June
2015-06-15,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,7,22,2015,Spring,June
2015-06-17,NA,NA,NA,NA,26,1,NA,NA,NA,NA,NA,NA,1,7,35,2015,Spring,June
2015-06-19,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,1,16,2015,Spring,June
2015-06-22,NA,NA,NA,NA,39,2,3,NA,NA,NA,NA,1,NA,5,50,2015,Summer,June
2015-06-24,NA,NA,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA,1,23,2015,Summer,June
2015-06-26,NA,1,NA,NA,43,3,NA,2,NA,NA,NA,NA,1,10,60,2015,Summer,June
2015-06-29,NA,NA,NA,NA,74,8,NA,1,NA,NA,NA,NA,NA,1,84,2015,Summer,June
2015-07-01,NA,NA,NA,NA,37,10,NA,1,NA,NA,NA,1,1,2,52,2015,Summer,July
2015-07-02,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,2,15,2015,Summer,July
2015-07-06,NA,NA,NA,NA,64,6,NA,2,NA,NA,NA,2,3,1,78,2015,Summer,July
2015-07-08,NA,NA,NA,NA,31,4,NA,NA,NA,NA,NA,NA,1,4,40,2015,Summer,July
2015-07-10,NA,NA,NA,NA,31,3,1,NA,NA,NA,NA,NA,NA,12,47,2015,Summer,July
2015-07-13,NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA,NA,1,1,27,2015,Summer,July
2015-07-15,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,1,2,20,2015,Summer,July
2015-07-17,NA,NA,NA,NA,17,4,NA,NA,NA,NA,NA,NA,2,2,25,2015,Summer,July
2015-07-20,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,11,2015,Summer,July
2015-07-22,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,11,2015,Summer,July
2015-07-24,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,3,18,2015,Summer,July
2015-07-27,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,8,2015,Summer,July
2015-07-31,NA,NA,NA,NA,16,4,NA,NA,NA,1,NA,NA,1,NA,22,2015,Summer,July
2015-08-03,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,8,2015,Summer,August
2015-08-05,NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,2,NA,18,2015,Summer,August
2015-08-07,NA,NA,NA,NA,25,4,1,1,NA,NA,NA,NA,1,3,35,2015,Summer,August
2015-08-10,NA,NA,NA,NA,19,4,NA,NA,1,NA,NA,NA,1,NA,25,2015,Summer,August
2015-08-12,1,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,1,3,16,2015,Summer,August
2015-08-14,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,2,9,2015,Summer,August
2015-08-17,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2015,Summer,August
2015-08-19,2,NA,NA,NA,25,4,NA,NA,NA,NA,NA,NA,NA,NA,31,2015,Summer,August
2015-08-21,1,NA,NA,NA,15,5,NA,NA,4,NA,1,NA,2,NA,28,2015,Summer,August
2015-08-24,NA,NA,NA,NA,23,3,NA,NA,2,NA,2,NA,1,NA,31,2015,Summer,August
2015-08-26,NA,NA,NA,NA,3,2,NA,NA,4,2,NA,NA,NA,1,12,2015,Summer,August
2015-08-28,NA,NA,NA,NA,24,2,NA,NA,2,NA,1,NA,1,NA,30,2015,Summer,August
2015-08-31,NA,NA,NA,NA,11,3,NA,NA,3,NA,NA,NA,NA,NA,17,2015,Summer,August
2015-09-02,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,5,2015,Summer,September
2015-09-04,NA,NA,NA,NA,9,5,NA,NA,1,NA,1,1,NA,1,18,2015,Summer,September
2015-09-09,NA,NA,NA,NA,2,1,NA,NA,2,NA,1,NA,NA,NA,6,2015,Summer,September
2015-09-11,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,2015,Summer,September
2015-09-14,2,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,6,2015,Summer,September
2015-09-16,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,2015,Summer,September
2015-09-18,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2015,Summer,September
2015-09-21,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,2015,Summer,September
2015-09-23,5,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,11,2015,Fall,September
2015-09-25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,15,2015,Fall,September
2015-09-28,17,NA,NA,1,1,2,NA,NA,NA,NA,NA,1,NA,7,29,2015,Fall,September
2015-09-30,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,4,24,2015,Fall,September
2015-10-02,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,20,2015,Fall,October
2015-10-03,14,NA,1,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,4,28,2015,Fall,October
2015-10-05,13,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,NA,5,24,2015,Fall,October
2015-10-05,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9,50,2015,Fall,October
2015-10-06,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,3,9,2015,Fall,October
2015-10-07,6,NA,NA,1,NA,4,NA,NA,NA,NA,NA,2,NA,5,18,2015,Fall,October
2015-10-09,14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,16,NA,NA,33,2015,Fall,October
2015-10-10,21,NA,NA,1,NA,NA,NA,NA,5,NA,NA,1,NA,2,30,2015,Fall,October
2015-10-12,24,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,7,34,2015,Fall,October
2015-10-12,33,NA,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,16,80,2015,Fall,October
2015-10-14,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,26,2015,Fall,October
2015-10-14,33,2,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA,19,75,2015,Fall,October
2015-10-16,13,2,NA,1,NA,NA,NA,NA,NA,NA,NA,21,NA,9,46,2015,Fall,October
2015-10-17,24,1,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,6,36,2015,Fall,October
2015-10-19,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,7,58,2015,Fall,October
2015-10-19,75,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,27,NA,14,117,2015,Fall,October
2015-10-21,13,1,1,1,NA,NA,NA,NA,NA,NA,NA,16,1,6,39,2015,Fall,October
2015-10-21,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,11,61,2015,Fall,October
2015-10-23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,11,92,2015,Fall,October
2015-10-24,82,NA,3,NA,NA,NA,NA,NA,1,NA,NA,45,NA,8,139,2015,Fall,October
2015-10-26,32,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,4,79,2015,Fall,October
2015-10-26,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,7,81,2015,Fall,October
2015-10-28,18,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,NA,3,29,2015,Fall,October
2015-10-28,50,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,48,NA,10,112,2015,Fall,October
2015-10-30,37,NA,1,1,NA,NA,NA,NA,NA,NA,NA,24,1,10,74,2015,Fall,October
2015-10-31,43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,13,73,2015,Fall,October
2015-11-02,79,1,1,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,17,154,2015,Fall,November
2015-11-02,75,2,NA,1,NA,NA,NA,NA,NA,NA,NA,80,1,3,162,2015,Fall,November
2015-11-03,21,NA,2,1,NA,NA,NA,NA,1,NA,NA,22,NA,13,60,2015,Fall,November
2015-11-04,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,7,34,2015,Fall,November
2015-11-04,28,2,1,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,9,85,2015,Fall,November
2015-11-06,31,1,1,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,10,81,2015,Fall,November
2015-11-07,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,6,80,2015,Fall,November
2015-11-09,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,11,124,2015,Fall,November
2015-11-09,35,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,68,NA,21,125,2015,Fall,November
2015-11-10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,2015,Fall,November
2015-11-11,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,7,57,2015,Fall,November
2015-11-13,43,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,15,141,2015,Fall,November
2015-11-14,62,NA,1,1,NA,NA,NA,NA,NA,NA,NA,93,NA,19,176,2015,Fall,November
2015-11-15,28,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11,NA,7,47,2015,Fall,November
2015-11-16,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,32,2015,Fall,November
2015-11-16,24,1,NA,1,NA,NA,NA,NA,NA,NA,NA,87,NA,15,128,2015,Fall,November
2015-11-18,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,11,76,2015,Fall,November
2015-11-18,16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,66,NA,11,96,2015,Fall,November
2015-11-20,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,13,104,2015,Fall,November
2015-11-21,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,5,84,2015,Fall,November
2015-11-23,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,2,50,2015,Fall,November
2015-11-23,73,1,1,1,NA,NA,NA,NA,NA,NA,NA,117,NA,17,210,2015,Fall,November
2015-11-24,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,3,55,2015,Fall,November
2015-11-25,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,1,59,2015,Fall,November
2015-11-25,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,6,66,2015,Fall,November
2015-11-27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,1,35,2015,Fall,November
2015-11-28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,6,52,2015,Fall,November
2015-11-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,7,85,2015,Fall,November
2015-12-04,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,3,68,2015,Fall,December
2015-12-07,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,4,58,2015,Fall,December
2015-12-09,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,22,80,2015,Fall,December
2015-12-11,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,22,113,2015,Fall,December
2015-12-14,91,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,38,152,2015,Fall,December
2015-12-16,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,12,76,2015,Fall,December
2015-12-18,84,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,6,107,2015,Fall,December
2015-12-21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,26,2015,Winter,December
2015-12-24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,41,2015,Winter,December
2015-12-28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,7,49,2015,Winter,December
2015-12-30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,5,33,2015,Winter,December
2016-01-04,32,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,1,19,60,2016,Winter,January
2016-01-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,23,2016,Winter,January
2016-01-08,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,12,39,2016,Winter,January
2016-01-11,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,55,2016,Winter,January
2016-01-13,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,35,2016,Winter,January
2016-01-15,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,15,57,2016,Winter,January
2016-01-18,35,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,18,60,2016,Winter,January
2016-01-20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,33,2016,Winter,January
2016-01-22,88,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,47,141,2016,Winter,January
2016-01-25,96,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,46,146,2016,Winter,January
2016-01-27,62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,17,85,2016,Winter,January
2016-01-29,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11,55,2016,Winter,January
2016-02-01,40,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,29,72,2016,Winter,February
2016-02-03,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14,48,2016,Winter,February
2016-02-05,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,44,2016,Winter,February
2016-02-08,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,41,2016,Winter,February
2016-02-10,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,46,2016,Winter,February
2016-02-12,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,45,2016,Winter,February
2016-02-15,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,48,2016,Winter,February
2016-02-17,68,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,34,106,2016,Winter,February
2016-02-19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,27,67,2016,Winter,February
2016-02-22,55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,90,2016,Winter,February
2016-02-24,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,26,2016,Winter,February
2016-02-26,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,29,2016,Winter,February
2016-02-29,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,29,2016,Winter,February
2016-03-02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18,2016,Winter,March
2016-03-04,23,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,42,2016,Winter,March
2016-03-07,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,19,2016,Winter,March
2016-03-09,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,2016,Winter,March
2016-03-11,40,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,61,2016,Winter,March
2016-03-14,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19,2016,Winter,March
2016-03-16,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,2016,Winter,March
2016-03-18,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16,2016,Winter,March
2016-03-21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,12,2016,Spring,March
2016-03-23,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,2016,Spring,March
2016-03-25,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,17,2016,Spring,March
2016-03-28,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,43,2016,Spring,March
2016-03-30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2016,Spring,March
2016-04-04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2016,Spring,April
2016-04-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,2016,Spring,April
2016-04-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2016,Spring,April
2016-04-11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,2016,Spring,April
2016-04-13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2016,Spring,April
2016-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2016,Spring,April
2016-04-18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2016,Spring,April
2016-04-20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,2016,Spring,April
2016-04-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2016,Spring,April
2016-05-02,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2016,Spring,May
2016-05-04,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2016,Spring,May
2016-05-06,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2016,Spring,May
2016-05-09,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,2016,Spring,May
2016-05-13,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,5,8,2016,Spring,May
2016-05-16,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,8,2016,Spring,May
2016-05-18,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,8,2016,Spring,May
2016-05-20,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,8,12,2016,Spring,May
2016-05-23,NA,NA,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,7,16,2016,Spring,May
2016-05-25,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,9,19,2016,Spring,May
2016-05-27,NA,NA,NA,NA,19,2,5,NA,NA,NA,NA,NA,NA,5,31,2016,Spring,May
2016-05-31,NA,NA,NA,NA,26,NA,4,NA,NA,NA,NA,NA,NA,18,48,2016,Spring,May
2016-06-01,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,NA,9,26,2016,Spring,June
2016-06-03,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,13,23,2016,Spring,June
2016-06-06,NA,NA,NA,NA,20,1,2,2,NA,NA,NA,NA,NA,34,59,2016,Spring,June
2016-06-08,NA,NA,NA,NA,49,1,5,1,NA,NA,NA,NA,NA,14,70,2016,Spring,June
2016-06-10,NA,NA,NA,NA,28,3,2,NA,NA,NA,NA,NA,NA,NA,33,2016,Spring,June
2016-06-13,NA,NA,NA,NA,47,1,2,NA,NA,NA,NA,NA,NA,32,82,2016,Spring,June
2016-06-15,NA,NA,NA,NA,23,4,3,NA,NA,NA,NA,NA,NA,39,69,2016,Spring,June
2016-06-17,NA,NA,NA,NA,26,NA,1,NA,NA,NA,NA,NA,NA,16,43,2016,Spring,June
2016-06-20,NA,NA,NA,NA,38,NA,3,1,NA,NA,NA,NA,NA,10,52,2016,Spring,June
2016-06-22,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,16,2016,Summer,June
2016-06-24,NA,NA,NA,NA,19,2,2,1,NA,NA,NA,NA,NA,1,25,2016,Summer,June
2016-06-27,NA,NA,NA,NA,18,2,2,NA,NA,NA,NA,NA,NA,12,34,2016,Summer,June
2016-06-29,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,5,14,2016,Summer,June
2016-06-30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2016,Summer,June
2016-07-05,NA,NA,NA,NA,82,2,6,1,NA,NA,NA,NA,NA,55,146,2016,Summer,July
2016-07-06,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,2,12,2016,Summer,July
2016-07-08,NA,NA,NA,NA,31,5,1,1,NA,NA,NA,NA,NA,2,40,2016,Summer,July
2016-07-11,NA,NA,NA,NA,41,4,1,NA,3,NA,NA,NA,2,9,60,2016,Summer,July
2016-07-13,NA,NA,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,5,11,2016,Summer,July
2016-07-15,NA,NA,NA,NA,11,NA,NA,NA,5,NA,NA,NA,1,2,19,2016,Summer,July
2016-07-18,NA,NA,NA,NA,23,3,NA,NA,4,NA,NA,NA,NA,NA,30,2016,Summer,July
2016-07-20,NA,NA,NA,NA,17,2,NA,1,10,NA,NA,NA,NA,2,32,2016,Summer,July
2016-07-22,NA,NA,NA,NA,2,1,NA,NA,6,NA,NA,NA,NA,NA,9,2016,Summer,July
2016-07-25,NA,NA,NA,NA,4,2,NA,NA,55,NA,NA,NA,NA,NA,61,2016,Summer,July
2016-07-27,NA,NA,NA,NA,18,5,NA,NA,32,NA,1,NA,NA,2,58,2016,Summer,July
2016-07-29,NA,NA,NA,NA,15,5,NA,NA,56,NA,NA,NA,NA,2,78,2016,Summer,July
2016-08-01,NA,NA,NA,NA,3,NA,1,NA,24,NA,1,NA,NA,NA,29,2016,Summer,August
2016-08-03,NA,NA,NA,NA,2,NA,NA,NA,29,NA,NA,NA,NA,3,34,2016,Summer,August
2016-08-05,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,5,2016,Summer,August
2016-08-08,NA,NA,NA,NA,29,3,NA,NA,70,NA,2,1,NA,1,106,2016,Summer,August
2016-08-10,NA,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,NA,3,17,2016,Summer,August
2016-08-12,NA,NA,NA,NA,13,NA,NA,NA,33,NA,1,NA,NA,1,48,2016,Summer,August
2016-08-15,NA,NA,NA,NA,5,NA,NA,NA,13,NA,NA,NA,NA,NA,18,2016,Summer,August
2016-08-17,NA,NA,NA,NA,6,3,NA,NA,18,NA,NA,NA,NA,2,29,2016,Summer,August
2016-08-19,NA,NA,NA,NA,11,2,NA,NA,9,NA,NA,NA,NA,NA,22,2016,Summer,August
2016-08-22,NA,NA,NA,NA,2,NA,NA,NA,15,NA,NA,NA,1,1,19,2016,Summer,August
2016-08-24,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,12,2016,Summer,August
2016-08-26,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1,19,2016,Summer,August
