Date,SUMMER.STEELHEAD_Hatchery,SUMMER.STEELHEAD_Wild,SUMMER.STEELHEAD_RM,SUMMER.STEELHEAD_LM,SPRING.CHINOOK_Hachery,SPRING.CHINOOK_Wild,SPRING.CHINOOK_RM,SPRING.CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall.Chinook,Bull.Trout,Rainbow.Trout,Total,Year,Season,Month
2017-02-10,106,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,14,127,2017,Winter,February
2017-02-13,104,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,143,2017,Winter,February
2017-02-15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,26,2017,Winter,February
2017-02-17,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,43,2017,Winter,February
2017-02-20,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,109,2017,Winter,February
2017-02-22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,46,2017,Winter,February
2017-02-24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,76,2017,Winter,February
2017-02-27,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,40,2017,Winter,February
2017-03-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,2017,Winter,March
2017-03-03,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25,2017,Winter,March
2017-03-05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,2017,Winter,March
2017-03-07,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,2017,Winter,March
2017-03-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2017,Winter,March
2017-03-13,26,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,44,2017,Winter,March
2017-03-15,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,49,2017,Winter,March
2017-03-17,35,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,60,2017,Winter,March
2017-03-20,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,37,2017,Spring,March
2017-03-22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,27,2017,Spring,March
2017-03-24,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,25,2017,Spring,March
2017-03-27,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,30,2017,Spring,March
2017-03-28,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19,2017,Spring,March
2017-03-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,2017,Spring,March
2017-04-03,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,2017,Spring,April
2017-04-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2017,Spring,April
2017-04-07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2017,Spring,April
2017-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,2017,Spring,April
2017-04-14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,2017,Spring,April
2017-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2017,Spring,April
2017-04-21,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,2017,Spring,April
2017-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,2017,Spring,April
2017-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2017,Spring,April
2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2017,Spring,May
2017-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2017,Spring,May
2017-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2017,Spring,May
2017-05-17,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2017,Spring,May
2017-05-19,NA,NA,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,5,25,2017,Spring,May
2017-05-22,NA,NA,NA,NA,27,1,NA,1,NA,NA,NA,NA,NA,1,30,2017,Spring,May
2017-05-25,NA,NA,NA,NA,65,NA,NA,1,NA,NA,NA,NA,NA,1,67,2017,Spring,May
2017-05-26,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,7,2017,Spring,May
2017-05-30,NA,NA,NA,NA,99,1,NA,NA,NA,NA,NA,NA,NA,9,109,2017,Spring,May
2017-05-31,NA,NA,NA,NA,97,4,1,1,NA,NA,NA,NA,NA,9,112,2017,Spring,May
2017-06-01,NA,NA,NA,NA,107,NA,NA,2,NA,NA,NA,NA,NA,20,129,2017,Spring,June
2017-06-02,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,4,46,2017,Spring,June
2017-06-06,NA,NA,NA,NA,292,3,5,NA,NA,NA,NA,NA,NA,12,312,2017,Spring,June
2017-06-08,NA,NA,NA,NA,284,4,2,3,NA,NA,NA,NA,NA,6,299,2017,Spring,June
2017-06-09,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,13,82,2017,Spring,June
2017-06-12,NA,NA,NA,NA,203,2,2,NA,NA,NA,NA,NA,NA,4,211,2017,Spring,June
2017-06-13,NA,NA,NA,NA,81,1,NA,NA,NA,NA,NA,NA,NA,8,90,2017,Spring,June
2017-06-14,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,1,5,32,2017,Spring,June
2017-06-16,NA,NA,NA,NA,87,2,NA,1,NA,NA,NA,NA,NA,17,107,2017,Spring,June
