Location,Date_time,Conductivity in μS/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
Ferry,2015-08-19T00:00:00Z,NA,97.6,9.89,8.09,14.8
Ferry,2015-09-02T00:00:00Z,NA,92.9,9.51,7.76,14.3
Ferry,2015-09-16T00:00:00Z,124,94,9.89,7.6,13.07
Ferry,2015-10-21T00:00:00Z,119,97.9,10.28,8.2,12.03
Ferry,2016-04-20T00:00:00Z,129.4,103.5,10.91,7.54,11.66
Ferry,2016-05-04T00:00:00Z,126,119.8,12.52,8.33,13.26
Ferry,2016-05-18T00:00:00Z,119.6,119.2,11.87,8.5,14.78
Ferry,2016-06-08T00:00:00Z,121.1,113.1,10.99,8.49,15.52
Ferry,2016-06-22T00:00:00Z,115.6,118.6,11.86,8.75,14.68
Ferry,2016-07-06T00:00:00Z,122.2,113.6,11.14,9.01,16.28
Ferry,2016-07-20T00:00:00Z,116.1,110.6,11.06,8.56,15.36
Ferry,2016-08-03T00:00:00Z,120,109.2,10.78,8.7,15.95
Ferry,2016-08-17T00:00:00Z,115.7,109.3,10.67,8.68,16.49
Ferry,2016-09-07T00:00:00Z,111.5,108.4,10.95,8.56,14.89
Ferry,2016-09-22T00:00:00Z,111.2,107.3,11.07,8.54,13.95
Ferry,2016-10-19T00:00:00Z,113.2,104,11.28,8.46,11.69
Ferry,2017-06-13T00:00:00Z,63.6,108.3,11.11,8.36,14.18
Ferry,2017-06-16T00:00:00Z,64.5,99.4,10.43,8.17,13.17
Ferry,2017-07-13T00:00:00Z,115.8,109.7,10.44,8.61,17.72
Ferry,2017-08-15T00:00:00Z,111.6,112.9,11.36,8.72,15.09
Ferry,2017-09-11T00:00:00Z,107.5,111.6,11.32,8.6,14.67
Lower Wapinitia,2015-02-25T00:00:00Z,NA,NA,13.58,8.42,7.33
Lower Wapinitia,2015-04-23T00:00:00Z,NA,NA,14.27,8.79,10.63
Lower Wapinitia,2015-05-07T00:00:00Z,NA,101.8,10.89,8.78,12.6
Lower Wapinitia,2015-05-20T00:00:00Z,NA,102.6,10.76,8.4,12.8
Lower Wapinitia,2015-06-03T00:00:00Z,NA,103.9,10.57,8.28,14.23
Lower Wapinitia,2015-06-18T00:00:00Z,NA,98.1,9.74,6.7,15.38
Lower Wapinitia,2015-07-08T00:00:00Z,78.9,101,9.49,9.22,18.5
